date,has_win,has_awesome_win,prog,travel,sport,social
20230101,1,0,0,0,1,1
20230102,0,0,0,0,0,0
20230103,1,0,1,0,1,0
20230104,1,0,1,0,0,0
20230105,1,1,0,0,1,0
20230106,1,0,0,0,0,1
20230107,1,0,0,1,1,0
20230108,1,0,0,0,1,0
20230109,0,0,0,0,0,0
20230110,1,0,0,0,1,0
20230111,1,0,1,0,0,0
20230112,1,0,0,0,1,0
20230113,1,1,1,0,0,0
20230114,1,0,1,0,0,0
20230115,1,0,0,0,1,1
20230116,1,0,1,0,0,0
20230117,1,0,0,0,1,1
20230118,1,0,1,0,0,0
20230119,1,0,1,0,0,0
20230120,1,0,1,0,0,0
20230121,1,0,1,0,1,0
20230122,1,0,1,0,1,0
20230123,1,0,1,0,1,0
20230124,1,1,1,0,0,0
20230125,1,0,1,0,0,0
20230126,1,0,0,0,1,0
20230127,1,0,1,0,0,0
20230128,1,0,1,0,1,0
20230129,1,0,1,0,1,1
20230130,1,0,1,0,1,0
20230131,1,0,1,0,0,0
20230201,1,0,0,0,1,1
20230202,1,0,0,1,0,1
20230203,1,0,0,1,0,1
20230204,1,0,1,0,0,0
20230205,1,1,1,0,1,0
20230206,1,0,1,0,0,0
20230207,1,1,0,0,1,0
20230208,1,0,1,0,0,0
20230209,1,0,0,0,1,0
20230210,1,1,1,0,1,1
20230211,1,0,0,1,1,1
20230212,1,1,0,0,1,1
20230213,1,0,0,1,1,1
20230214,1,0,1,0,1,0
20230215,1,0,0,0,1,0
20230216,0,0,0,0,0,0
20230217,1,1,0,1,1,1
20230218,1,1,0,0,1,1
20230219,1,1,0,1,0,1
20230220,1,0,0,0,1,0
20230221,1,1,1,0,1,0
20230222,1,0,1,0,0,0
20230223,1,0,1,0,0,0
20230224,1,1,1,0,0,0
20230225,1,0,1,0,0,0
20230226,1,1,0,0,1,1
20230227,1,0,0,0,1,0
20230228,1,0,0,0,1,0
20230301,1,0,1,0,1,0
20230302,1,0,0,0,1,0
20230303,1,0,1,1,0,0
20230304,1,1,0,0,1,1
20230305,1,1,0,0,1,1
20230306,1,1,1,0,0,0
20230307,1,0,0,0,1,1
20230308,1,0,1,0,1,1
20230309,1,0,1,0,1,0
20230310,1,0,1,0,0,1
20230311,1,0,1,0,0,0
20230312,1,1,1,0,0,0
20230313,0,0,0,0,0,0
20230314,0,0,0,0,0,0
20230315,0,0,0,0,0,0
20230316,1,0,0,0,1,0
20230317,1,1,0,0,0,1
20230318,1,1,0,0,1,1
20230319,1,1,0,1,1,1
20230320,0,0,0,0,0,0
20230321,1,0,0,0,1,0
20230322,1,0,0,0,1,0
20230323,1,0,0,0,1,0
20230324,1,1,1,0,1,1
20230325,1,1,0,0,0,0
20230326,1,1,0,0,1,1
20230327,1,1,0,0,0,1
20230328,1,0,0,0,1,0
20230329,1,0,0,0,1,0
20230330,1,0,1,0,1,0
20230331,1,0,0,0,0,1
20230401,1,1,0,0,1,1
20230402,1,1,0,0,1,1
20230403,1,0,0,0,1,0
20230404,1,0,0,0,1,1
20230405,1,0,1,0,1,0
20230406,1,1,1,0,1,1
20230407,1,0,0,0,1,1
20230408,1,0,0,0,0,0
20230409,1,1,0,0,1,1
20230410,1,0,1,0,1,0
20230411,1,0,0,0,1,0
20230412,1,0,1,0,0,0
20230413,1,0,1,0,1,1
20230414,1,0,0,0,0,1
20230415,1,1,0,0,1,1
20230416,1,1,0,0,1,1
20230417,1,1,0,0,0,1
20230418,1,0,0,0,1,0
20230419,1,0,0,0,1,0
20230420,1,0,1,0,0,0
20230421,1,1,0,0,0,1
20230422,1,1,0,0,1,1
20230423,1,1,0,0,1,1
20230424,1,0,0,0,1,0
20230425,1,0,0,0,1,0
20230426,1,0,0,0,0,1
20230427,1,0,0,0,0,1
20230428,1,0,0,0,0,1
20230429,1,0,0,0,1,1
20230430,1,0,0,0,1,1
20230501,1,1,0,0,1,1
20230502,1,0,0,0,1,0
20230503,1,0,0,0,1,1
20230504,1,0,0,0,1,1
20230505,1,0,1,0,0,0
20230506,1,1,0,0,1,1
20230507,1,1,0,0,1,1
20230508,1,0,0,0,1,1
20230509,1,1,1,0,0,0
20230510,0,0,0,0,0,0
20230511,1,0,0,0,0,1
20230512,1,0,0,0,0,0
20230513,1,0,0,0,1,1
20230514,1,0,0,0,0,1
20230515,1,0,0,0,1,0
20230516,1,0,0,0,0,1
20230517,1,0,0,0,1,1
20230518,1,0,0,0,1,1
20230519,1,0,0,0,0,0
20230520,1,1,0,0,1,1
20230521,1,0,0,0,0,0
20230522,1,0,0,0,1,1
20230523,1,1,1,0,0,1
20230524,1,0,0,0,1,0
20230525,1,0,0,0,1,1
20230526,0,0,0,0,0,0
20230527,1,1,0,0,1,1
20230528,1,0,0,0,1,1
20230529,1,0,0,0,1,0
20230530,1,0,0,0,0,1
20230531,1,0,1,0,0,0
20230601,1,0,0,0,1,0
20230602,1,0,1,0,0,0
20230603,1,1,0,1,0,0
20230604,1,1,0,1,1,0
20230605,1,1,0,1,0,0
20230606,1,0,0,0,1,0
20230607,1,1,0,1,0,0
20230608,1,1,0,0,1,1
20230609,0,0,0,0,0,0
20230610,1,1,0,1,1,1
20230611,1,1,1,0,0,0
20230612,1,1,0,0,1,1
20230613,1,0,0,0,0,0
20230614,1,0,1,0,0,0
20230615,1,1,0,0,1,0
20230616,1,0,0,0,1,1
20230617,1,1,0,0,1,0
20230618,1,1,0,0,1,1
20230619,1,0,0,0,0,1
20230620,1,0,0,0,1,1
20230621,1,0,0,0,1,0
20230622,1,0,0,0,1,1
20230623,1,0,1,0,1,0
20230624,1,1,1,0,0,1
20230625,1,0,0,0,0,1
20230626,1,0,0,0,1,0
20230627,1,0,0,0,1,0
20230628,1,0,0,0,0,1
20230629,1,0,0,0,1,1
20230630,1,1,0,0,1,1
20230701,1,1,0,0,1,0
20230702,1,0,1,0,0,0
20230703,1,0,0,0,1,0
20230704,1,0,0,0,1,0
20230705,1,0,0,0,1,0
20230706,1,1,0,0,1,0
20230707,0,0,0,0,0,0
20230708,1,0,1,0,1,0
20230709,1,0,1,0,1,0
20230710,1,1,0,0,1,0
20230711,1,0,0,0,0,1
20230712,1,0,0,0,1,1
20230713,1,0,0,0,1,1
20230714,1,0,0,0,1,0
20230715,1,0,0,0,1,1
20230716,1,0,0,0,0,1
20230717,1,0,0,0,1,0
20230718,1,0,1,0,1,1
20230719,1,0,1,0,0,1
20230720,1,0,1,0,1,1
20230721,1,0,1,0,0,1
20230722,1,0,0,0,1,1
20230723,1,0,0,0,1,1
20230724,1,0,0,0,0,1
20230725,1,1,0,0,0,1
20230726,1,0,1,0,0,0
20230727,1,0,1,0,0,1
20230728,1,0,1,0,0,0
20230729,1,0,1,0,0,1
20230730,1,1,1,0,0,0
20230731,1,0,1,0,0,1
20230801,1,0,1,0,1,1
20230802,1,0,1,0,1,0
20230803,1,1,1,0,1,1
20230804,1,0,0,0,1,1
20230805,1,0,1,0,1,0
20230806,1,0,1,0,1,1
20230807,1,0,0,0,1,0
20230808,1,0,1,0,1,1
20230809,1,0,1,0,0,1
20230810,1,0,0,0,1,1
20230811,1,0,1,0,0,0
20230812,1,0,0,1,0,0
20230813,1,1,0,1,1,0
20230814,1,1,0,1,1,0
20230815,1,1,0,1,1,0
20230816,1,1,0,1,1,0
20230817,1,1,0,1,1,0
20230818,1,1,0,1,1,0
20230819,1,1,0,1,1,0
20230820,1,1,0,1,1,0
20230821,1,1,0,1,1,0
20230822,1,1,0,1,1,0
20230823,1,0,0,0,0,0
20230824,1,1,1,0,1,0
20230825,1,0,1,0,0,0
20230826,1,0,0,0,1,0
20230827,1,0,1,0,1,0
20230828,1,0,0,0,1,0
20230829,1,0,0,0,1,1
20230830,1,0,0,0,0,0
20230831,1,0,0,0,1,1
20230901,1,0,0,0,1,1
20230902,1,0,0,0,0,1
20230903,1,0,0,0,1,1
20230904,1,0,0,0,0,0
20230905,1,0,1,0,1,1
20230906,1,0,0,0,1,1
20230907,1,0,0,0,1,0
20230908,1,0,0,0,1,1
20230909,1,1,0,0,1,1
20230910,1,1,0,0,1,1
20230911,1,0,0,0,1,0
20230912,1,0,1,0,0,0
20230913,1,0,0,0,1,1
20230914,1,0,0,0,1,1
20230915,0,0,0,0,0,0
20230916,1,1,0,0,1,1
20230917,1,0,0,0,0,1
20230918,1,0,0,0,1,1
20230919,1,0,0,0,1,0
20230920,1,0,0,0,1,1
20230921,1,0,1,0,1,1
20230922,1,0,0,0,0,1
20230923,1,1,0,1,1,1
20230924,1,1,0,0,1,1
20230925,1,0,0,0,0,1
20230926,1,0,0,0,1,1
20230927,1,0,0,0,1,0
20230928,1,0,0,0,1,1
20230929,1,0,0,0,1,0
20230930,1,0,0,1,1,0
20231001,1,0,0,0,0,1
20231002,1,0,0,1,0,0
20231003,1,0,1,0,1,0
20231004,0,0,0,0,0,0
20231005,1,0,0,0,1,1
20231006,1,0,0,0,0,1
20231007,1,1,0,0,1,1
20231008,1,1,0,1,1,1
20231009,1,0,0,0,0,1
20231010,0,0,0,0,0,0
20231011,1,0,0,0,1,0
20231012,1,0,0,0,1,1
20231013,1,1,0,0,1,1
20231014,1,0,0,0,1,1
20231015,1,0,0,0,0,1
20231016,1,1,0,0,1,1
20231017,0,0,0,0,0,0
20231018,1,0,0,0,1,1
20231019,1,1,0,0,1,0
20231020,1,0,0,0,1,0
20231021,1,0,0,1,0,1
20231022,1,0,0,1,0,1
20231023,1,1,0,0,1,0
20231024,1,0,0,0,1,0
20231025,1,0,0,0,1,1
20231026,1,0,0,0,1,0
20231027,0,0,0,0,0,0
20231028,1,1,0,0,1,1
20231029,1,1,0,0,1,1
20231030,1,0,0,0,0,0
20231031,1,0,0,0,1,0
20231101,1,0,0,0,1,0
20231102,0,0,0,0,0,0
20231103,1,1,0,1,0,0
20231104,1,1,0,1,0,0
20231105,1,1,0,1,0,0
20231106,1,0,0,0,1,0
20231107,1,0,1,0,0,0
20231108,1,1,0,0,0,0
20231109,0,0,0,0,0,0
20231110,1,1,1,1,0,1
20231111,1,1,0,1,1,1
20231112,1,0,0,1,1,1
20231113,1,0,0,1,1,1
20231114,1,0,0,0,1,1
20231115,1,0,0,0,1,0
20231116,1,0,0,0,0,0
20231117,1,0,1,0,0,0
20231118,1,0,0,0,1,1
20231119,1,0,0,0,1,1
20231120,1,0,1,0,1,0
20231121,1,0,0,0,1,0
20231122,1,0,0,0,1,0
20231123,1,0,0,0,1,1
20231124,1,0,1,0,0,0
20231125,1,0,0,0,1,0
20231126,1,0,0,0,1,1
20231127,1,0,1,0,1,0
20231128,1,0,1,0,1,0
20231129,1,0,0,0,1,0
20231130,1,0,0,0,1,1
20231201,1,1,1,0,1,0
20231202,1,1,0,0,1,1
20231203,1,1,0,0,1,1
20231204,1,0,0,0,1,1
20231205,1,0,0,0,1,0
20231206,1,0,0,0,1,0
20231207,1,0,0,0,1,1
20231208,1,1,0,0,1,1
20231209,1,0,0,0,1,0
20231210,1,1,0,0,1,0
20231211,1,0,0,0,1,0
20231212,1,0,0,0,1,0
20231213,1,0,1,0,1,0
20231214,1,0,1,0,1,1
20231215,1,0,1,0,0,0
20231216,1,1,0,0,1,0
20231217,1,0,0,0,1,1
20231218,1,0,0,0,1,1
20231219,1,0,0,0,0,0
20231220,1,0,0,0,0,0
20231221,1,0,0,0,1,0
20231222,1,1,0,0,0,0
20231223,1,1,0,0,0,0
20231224,1,1,0,0,0,0
20231225,0,0,0,0,0,0
20231226,1,0,0,0,1,0
20231227,1,0,0,0,1,0
20231228,1,1,0,1,0,1
20231229,1,1,0,1,1,1
20231230,1,0,0,0,1,1
20231231,1,0,0,0,1,0
